row_id,nominal_nfe,mean_delta_fid_vs_raw_raw,std,values
official_raw_skip,2,-4.179069,1.457276,-4.370763 -2.635433 -5.531011
official_raw_skip,4,-4.329631,0.173123,-4.443407 -4.130395 -4.415091
official_raw_skip,8,-3.521015,0.272384,-3.497660 -3.804324 -3.261060
raw_damage,2,0.254506,0.189788,0.336154 0.037558 0.389806
raw_damage,4,-0.407169,0.256508,-0.521739 -0.586426 -0.113343
raw_damage,8,1.008017,0.322712,1.286676 0.654434 1.082940
raw_shared_sigma,2,-0.018698,0.183652,0.164018 -0.016839 -0.203273
raw_shared_sigma,4,-0.169260,1.233059,0.091374 -1.511801 0.912647
raw_shared_sigma,8,0.722613,1.010427,1.354780 -0.442727 1.255787
raw_shared_logsnr,2,0.000000,0.000000,0.000000 0.000000 0.000000
raw_shared_logsnr,4,0.000000,0.000000,0.000000 0.000000 0.000000
raw_shared_logsnr,8,0.000000,0.000000,0.000000 0.000000 0.000000
